Id Source Target
0 0 132
1 0 194
2 0 16
3 0 149
4 0 23
5 0 155
6 0 29
7 0 34
8 0 163
9 0 41
10 0 173
11 0 157
12 0 177
13 0 181
14 0 56
15 0 186
16 0 190
17 0 65
18 0 66
19 0 197
20 0 75
21 0 78
22 0 79
23 0 80
24 0 83
25 0 90
26 0 95
27 0 107
28 0 116
29 0 117
30 0 119
31 0 121
32 0 122
33 1 129
34 1 2
35 1 10
36 1 139
37 1 13
38 1 15
39 1 16
40 1 18
41 1 20
42 1 21
43 1 151
44 1 25
45 1 26
46 1 30
47 1 159
48 1 160
49 1 197
50 1 37
51 1 166
52 1 171
53 1 45
54 1 174
55 1 176
56 1 54
57 1 55
58 1 59
59 1 60
60 1 189
61 1 182
62 1 70
63 1 77
64 1 82
65 1 89
66 1 91
67 1 92
68 1 188
69 1 107
70 1 146
71 1 110
72 1 115
73 1 119
74 2 130
75 2 138
76 2 146
77 2 20
78 2 24
79 2 25
80 2 155
81 2 156
82 2 31
83 2 162
84 2 163
85 2 169
86 2 42
87 2 171
88 2 173
89 2 174
90 2 51
91 2 184
92 2 58
93 2 187
94 2 62
95 2 191
96 2 72
97 2 75
98 2 79
99 2 84
100 2 86
101 2 186
102 2 92
103 2 93
104 2 97
105 2 110
106 2 113
107 2 117
108 2 122
109 2 126
110 3 150
111 3 6
112 3 9
113 3 13
114 3 21
115 3 22
116 3 152
117 3 25
118 3 157
119 3 31
120 3 160
121 3 161
122 3 36
123 3 42
124 3 43
125 3 173
126 3 175
127 3 49
128 3 179
129 3 180
130 3 57
131 3 159
132 3 67
133 3 197
134 3 71
135 3 72
136 3 73
137 3 80
138 3 82
139 3 84
140 3 85
141 3 164
142 3 91
143 3 92
144 3 97
145 3 187
146 3 101
147 3 103
148 3 105
149 3 107
150 3 112
151 3 113
152 3 115
153 3 121
154 3 125
155 4 2
156 4 6
157 4 138
158 4 144
159 4 18
160 4 22
161 4 24
162 4 26
163 4 155
164 4 154
165 4 161
166 4 164
167 4 38
168 4 167
169 4 44
170 4 49
171 4 50
172 4 181
173 4 183
174 4 62
175 4 64
176 4 193
177 4 66
178 4 67
179 4 196
180 4 72
181 4 74
182 4 83
183 4 85
184 4 87
185 4 92
186 4 100
187 4 103
188 4 104
189 4 146
190 4 116
191 4 120
192 4 127
193 5 0
194 5 128
