Id Source Target
0 0 74
1 0 52
2 0 126
3 0 95
4 1 72
5 1 153
6 1 38
7 2 131
8 2 100
9 2 69
10 2 8
11 2 10
12 2 175
13 2 147
14 2 164
15 3 1
16 3 11
17 3 79
18 3 82
19 3 87
20 3 184
21 3 25
22 3 92
23 4 33
24 4 133
25 4 39
26 4 23
27 4 87
28 4 184
29 4 89
30 5 25
31 5 107
32 5 164
33 5 13
34 5 153
35 6 192
36 6 69
37 6 140
38 6 144
39 6 58
40 6 95
41 7 72
42 7 82
43 7 117
44 7 134
45 8 33
46 8 95
47 9 148
48 9 156
49 9 36
50 9 194
51 9 167
52 10 185
53 10 106
54 11 68
55 11 5
56 11 40
57 11 73
58 11 142
59 11 48
60 12 169
61 12 123
62 12 116
63 12 37
64 13 16
65 13 162
66 13 83
67 13 95
68 14 24
69 14 75
70 14 125
71 14 23
72 15 194
73 15 154
74 15 38
75 15 22
76 15 39
77 16 91
78 17 163
79 17 21
80 18 34
81 18 136
82 18 75
83 18 77
84 18 175
85 18 81
86 19 107
87 19 75
88 19 16
89 19 177
90 19 115
91 19 88
92 20 72
93 20 178
94 20 140
95 20 53
96 20 31
97 21 102
98 21 30
99 21 109
100 22 165
101 22 139
102 22 48
103 22 149
104 22 191
105 22 94
106 22 31
107 23 194
108 23 155
109 23 174
110 23 151
111 23 27
112 23 94
113 24 0
114 24 1
115 24 83
116 24 75
117 24 131
118 25 160
119 25 145
120 25 192
121 25 62
122 26 197
123 26 198
124 26 167
125 26 44
126 26 140
127 26 175
128 26 124
129 26 29
130 27 69
131 27 70
132 27 42
133 27 43
134 27 121
135 27 184
136 27 89
137 27 31
138 28 90
139 28 139
140 28 100
141 28 21
142 28 47
143 29 88
144 29 9
145 29 156
146 29 60
147 29 159
148 30 73
149 30 162
150 30 108
151 30 142
152 30 191
153 31 101
154 31 77
155 31 148
156 31 24
157 31 52
158 31 155
159 31 189
160 32 195
161 32 139
162 32 111
163 32 148
164 32 181
165 32 156
166 33 64
167 33 1
168 33 131
169 33 104
170 33 112
171 33 24
172 33 153
173 33 94
174 34 188
175 34 50
176 34 12
177 34 146
178 35 131
179 35 14
180 35 51
181 35 180
182 35 185
